,species,tribe,subtribe,genus,Argentina,Belize,Bolivia,Brazil,Canada,CaymanIslands,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,French Guiana,Guadeloupe,Guatemala,Grenada,Guyana,Haiti,Honduras,Jamaica,Martinica,Mexico,Nicaragua,Panama,Paraguay,PuertoRico,Peru,Suriname,TrinidadTobago,Uruguay,USA,Venezuela,VirginIslands,act.di,act.noct,act.crep,hs.canopy,hs.floor,b.tsmbf,b.tsdbf,b.tsgss,b.mangrove,b.fgs,b.dxs,b.tscf,b.tgss,b.tcforest,b.tbmforest,b.montane,mh.flfs,mh.ab,mh.bwa,mh.tttr,mh.th,mh.tt,mh.cr,mh.ca,mh.fwsl,mh.ma,mh.ada,mh.oihd,exta,peri,intra,wild,semi.domestic,domestic,bites.man,bites.mammals,order.notes,seas.wint,seas.summ,lifespan,gonotrophic,cl.size,citations,labrum.length,Labrumepipharynx.length,labruml_wingl,A3_wingl,no.lat.teeth,no.ven.teeth,no.cib.teeth,dental.depth,wing.length,wingl_wingw,wing.width,A3,temp,temp.range,temp.var,rainfall,elevation,flii,wind.speed,canopy,ghm,tree.cover,crops.cover,grass.cover,shrub.cover,urban.cover,water.perm.cover,water.seas.cover,evi,ecoregion.breadth,synarthropy,max.shape,hypo.teeth
98,Evandromyia (Evandromyia) tylophalla,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Evandromyia (Evandromyia) wilsoni,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Evandromyia edwardsi,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,,1,1,,,,,,,,,,4,,,,,,,,,,,,,21.63405914,17.29474258,5.011171812,112.2211635,502.2,3118.076923,0.983778349,9.55,0.570122857,28.555,8.485,29.14,10.22,21.575,1.43,0.31,3320.694868,8,,,
101,Expapillata cerradincola,Phlebotomini,Lutzomyiina,Expapillata,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,,,,,,,,,,,,0,,,,,,,,,,,,,25.41228638,18.25323486,3.341681919,120.3988083,394.5,,0.841615242,0,0.571115166,29.8,0,11,9.2,50,0,0,2799.758696,2,,,
102,Expapillata firmatoi,Phlebotomini,Lutzomyiina,Expapillata,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,,man,,,,5,,5,,,,,,,,,,,,,22.29778442,19.21948242,5.915769091,114.547126,680,2188,0.520735557,13,0.370210975,31.2,18.8,23.8,26.2,0,0,0,4550.704348,1,,,
103,Lutzomyia (Castromyia) amarali,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,1,,,0,,,,,,,,0,,,,,,,,,,,,,21.14469808,17.29128011,4.278367473,105.5042189,675.7777778,,1.237500911,7.666666667,0.620073411,23.95555556,2.888888889,30.8,8.777777778,33.33333333,0,0,3083.834783,1,,,
104,Lutzomyia (Castromyia) caligata,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,26.09310303,15.2585144,0.671597155,165.4377729,128,,0.388135688,0,0.733276308,0,0,0,0,100,0,0,2598.978261,1,,,
105,Lutzomyia (Castromyia) castroi,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Lutzomyia (Helcocyrtomyia) adamsi,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,3.16,2.846846847,1.11,,,,,,,,,,,,,,,,,,,,,,
107,Lutzomyia (Helcocyrtomyia) ayacuchensis,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,19.88407288,13.95883179,1.785318516,137.3488158,920.5,7979,0.762846232,14.5,0.372440025,52.3,17.6,16,13,0,0,0,2636.267391,2,,,
108,Lutzomyia (Helcocyrtomyia) blancasi,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Lutzomyia (Helcocyrtomyia) botella,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Lutzomyia (Helcocyrtomyia) caballeroi,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,1,,,1,,1,,man,,,,,,1,,,,,,,,,,,,,15.35982666,13.78329468,0.220786676,130.6259483,2107,,0.262912811,0,0.237306073,7.4,0,61.4,27.2,0,0,0,2650.886957,1,,,
111,Lutzomyia (Helcocyrtomyia) caceresi,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Lutzomyia (Helcocyrtomyia) castanea,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,17.2193339,13.64939372,0.770468116,209.7388605,1530.666667,7363,0.349877008,18.33333333,0.385122408,48.8,7.6,25,18.6,0,0,0,3464.17971,2,,,
113,Lutzomyia (Helcocyrtomyia) ceferinoi,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0.3386,,,,,,,,,,,,,,,,,,,,,,
114,Lutzomyia (Helcocyrtomyia) chavinensis,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.365,,,6,23,4,,2.993,3.695061728,0.81,0.392,,,,,,,,,,,,,,,,,,,,,
115,Lutzomyia (Helcocyrtomyia) cirrita,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Lutzomyia (Helcocyrtomyia) erwindonaldoi,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,man,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Lutzomyia (Helcocyrtomyia) galatiae,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Lutzomyia (Helcocyrtomyia) gonzaloi,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Lutzomyia (Helcocyrtomyia) guderiani,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Lutzomyia (Helcocyrtomyia) hartmanni,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,,1,,,,,,,,,,,5,,,,,,,,,,,,,23.56772257,14.18375651,0.603618719,138.0795091,780.3333333,5771.333333,0.324993309,22.33333333,0.41114375,46.4,0.4,28.73333333,9,15.33333333,0,0,3973.598551,2,,,
121,Lutzomyia (Helcocyrtomyia) herreri,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Lutzomyia (Helcocyrtomyia) imperatrix,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Lutzomyia (Helcocyrtomyia) kirigetiensis,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Lutzomyia (Helcocyrtomyia) larensis,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Lutzomyia (Helcocyrtomyia) monzonensis,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Lutzomyia (Helcocyrtomyia) munaypata,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,16.20168457,14.68621826,0.482037278,204.2610347,1227,6874,0.270002855,0,0.35139519,54.2,0,27.6,18.2,0,0,0,3959.230435,1,,,
127,Lutzomyia (Helcocyrtomyia) noguchii,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,,man,,,,,,1,0.31,,0.11,0.12,7,24,,0.11,2.7,3.8,,,9.991235352,15.89891052,0.716649631,119.487755,3071.5,,0.324424635,0,0.256823003,2.9,6.5,55.6,23.4,0,0,0,1538.556522,1,,spear,spiculate
128,Lutzomyia (Helcocyrtomyia) osornoi,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Lutzomyia (Helcocyrtomyia) pallidithorax,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Lutzomyia (Helcocyrtomyia) peruensis,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,1,,,1,,1,,man,,,,,,3,,,,,,,,,,,,,11.61971559,13.57788705,0.618010363,157.9880247,2962.081081,6357.818182,0.502583022,5.986486486,0.326337122,12.08378378,7.072972973,49.20540541,16.82972973,6.72972973,0,1.078378378,2479.316451,7,,,
131,Lutzomyia (Helcocyrtomyia) pescei,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,1,,man,,,,,,0,,,,,,,,,,,,,9.734750366,15.36083984,0.802610306,127.7315468,3388.5,,0.572067589,16.5,0.296104118,4.4,3.1,69.2,16.2,1.6,0,0,2873.956522,2,,,
132,Lutzomyia (Helcocyrtomyia) quillabamba,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,7.15657959,15.05200195,0.672137637,144.8623091,3118,,0.570854891,0,0.462479532,3.4,0,75.2,18,0,0,0,2333.982609,1,,,
133,Lutzomyia (Helcocyrtomyia) rispaili,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Lutzomyia (Helcocyrtomyia) sanguinaria,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.37,,0.17,0.16,11,20,,0.11,2.1,3.1,,,,,,,,,,,,,,,,,,,,,,spear,spiculate
135,Lutzomyia (Helcocyrtomyia) scorzai,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,20.57949219,12.43850708,0.327287985,314.5775795,2448,8889,0.383939602,30.5,0.305586457,51.1,4.3,27.6,16.8,0,0,0,4212.806522,1,,,
136,Lutzomyia (Helcocyrtomyia) strictivilla,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,man,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Lutzomyia (Helcocyrtomyia) tejadai,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,6.538720703,14.37060547,0.713786232,161.6726369,3159,7981,0.732468799,0,0.447314471,22.8,0,45.6,28,0,0,0,2359.017391,1,,,
138,Lutzomyia (Helcocyrtomyia) tolimensis,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.5684,,,,,4,,3.2792,2.9286416,1.1197,,16.51287231,14.63949585,0.194210728,295.5437303,1971,5517,0.883713826,23,0.405853719,50,3.2,27.9,18.9,0,0,0,4899.852174,1,,,
139,Lutzomyia (Helcocyrtomyia) tortura,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Lutzomyia (Helcocyrtomyia) velezi,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Lutzomyia (Helcocyrtomyia) wattsi,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Lutzomyia (Lutzomyia) alencari,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,22.75280706,17.37599321,3.8298937,93.3174816,438.0909091,,1.395296961,11.54545455,0.563789682,23.23636364,8.8,42.58181818,14.92727273,9.727272727,0,0,3308.766008,3,,,
143,Lutzomyia (Lutzomyia) almerioi,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,,1,,,1,,1,0,birds,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Lutzomyia (Lutzomyia) battistinii,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,10.32885132,15.29510498,0.693219143,123.1447458,2418,,0.572845906,24,0.56282264,0,0,3,0,97,0,0,1416.273913,1,,,
145,Lutzomyia (Lutzomyia) bicornuta,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,8.523873901,14.36782837,0.704650093,141.830571,3238.5,,0.556022187,5.5,0.325907201,8.4,17.3,49.7,17.6,1.6,0,0,2930.543478,1,,,
146,Lutzomyia (Lutzomyia) bifoliata,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,22.68831787,15.63360596,0.789994303,131.4978898,1027,6635,0.125835147,24.5,0.393315315,60.9,0,29.4,9.7,0,0,0,4579.326087,1,,,
147,Lutzomyia (Lutzomyia) cavernicola,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,,1,,,,,,,,,,,9,,,,,,,,,,,,,24.19026082,17.30560303,2.363945548,70.02764444,710.6666667,9592,1.477387221,12.33333333,0.227540895,19.6,3.266666667,28.6,32.86666667,15.66666667,0,0,3319.415942,1,,,
148,Lutzomyia (Lutzomyia) cruzi,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,,,,,,,,56,,,,,,,10,,,,,,25.47691951,17.13534922,2.531384674,123.6548691,340.3985507,4179.190476,0.607540712,6.652173913,0.576610581,19.86231884,12.32318841,23.23333333,7.186956522,35.19710145,1.924637681,0.446376812,3221.163453,7,75.09,,
149,Lutzomyia (Lutzomyia) dispar,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,1,,,,,,,,4,,0.295,,,,,4,,1.904,3.340350877,0.57,0.236,27.50779114,15.19962311,2.099227144,81.57215267,269.4166667,,1.51925231,3.25,0.59587351,21.68333333,5.95,12.86666667,13.71666667,45.58333333,0,0,2661.166667,5,,,
150,Lutzomyia (Lutzomyia) elizabethrangelae,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Lutzomyia (Lutzomyia) falquetoi,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Lutzomyia (Lutzomyia) fonsecai,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Lutzomyia (Lutzomyia) forattinii,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,,,,1,1,1,,,,,,,,,6,,,,,,,8,,,,,,26.16106567,19.85084534,5.974345949,99.39400107,183,6944,0.661432367,6.5,0.504551589,45.3,0,0,4.7,50,0,0,3751.902174,1,35.2,,
154,Lutzomyia (Lutzomyia) gaminarai,Phlebotomini,Lutzomyiina,Lutzomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,4,,,,,,,,,,,,,20.66211853,17.95645142,6.154145671,118.9421453,473,0,0.977348738,0,0.77549383,0,0,0,0,100,0,0,3214.121739,2,,,
