,species,tribe,subtribe,genus,Argentina,Belize,Bolivia,Brazil,Canada,CaymanIslands,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,French Guiana,Guadeloupe,Guatemala,Grenada,Guyana,Haiti,Honduras,Jamaica,Martinica,Mexico,Nicaragua,Panama,Paraguay,PuertoRico,Peru,Suriname,TrinidadTobago,Uruguay,USA,Venezuela,VirginIslands,act.di,act.noct,act.crep,hs.canopy,hs.floor,b.tsmbf,b.tsdbf,b.tsgss,b.mangrove,b.fgs,b.dxs,b.tscf,b.tgss,b.tcforest,b.tbmforest,b.montane,mh.flfs,mh.ab,mh.bwa,mh.tttr,mh.th,mh.tt,mh.cr,mh.ca,mh.fwsl,mh.ma,mh.ada,mh.oihd,exta,peri,intra,wild,semi.domestic,domestic,bites.man,bites.mammals,order.notes,seas.wint,seas.summ,lifespan,gonotrophic,cl.size,citations,labrum.length,Labrumepipharynx.length,labruml_wingl,A3_wingl,no.lat.teeth,no.ven.teeth,no.cib.teeth,dental.depth,wing.length,wingl_wingw,wing.width,A3,temp,temp.range,temp.var,rainfall,elevation,flii,wind.speed,canopy,ghm,tree.cover,crops.cover,grass.cover,shrub.cover,urban.cover,water.perm.cover,water.seas.cover,evi,ecoregion.breadth,synarthropy,max.shape,hypo.teeth
21,Brumptomyia hamata,Phlebotomini,Brumptomyiina,Brumptomyia,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,,,,,,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,armadillo,,,,,,1,,,,,,,,,,,,,26.54403687,17.36344604,3.811211624,80.99568039,104.6,4588,1.881199539,17.2,0.26684121,82.16,0,3.44,14.4,0,0,0,5258.909565,2,,sabre,spiculate
22,Brumptomyia leopoldoi,Phlebotomini,Brumptomyiina,Brumptomyia,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,armadillo,,,,,,1,,,,,,,,,,,,,26.33342896,20.22271729,5.99950803,95.51310539,197,6944,0.720144554,13,0.111751437,83.6,0,0,16.4,0,0,0,4902.869565,1,,sabre,spiculate
23,Brumptomyia mangabeirai,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,1,armadillo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sabre,spiculate
24,Brumptomyia mesai,Phlebotomini,Brumptomyiina,Brumptomyia,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,armadillo,,,,,,4,,,,,,,,,,,,,19.71028035,15.66845703,4.146260564,128.9047996,560,0,0.877764058,4,0.632099946,77.93333333,0.8,12.4,8.866666667,0,0,0,4622.882609,2,,sabre,spiculate
25,Brumptomyia nitzulescui,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,,,1,,,,1,armadillo,,,,,,7,,,,,,,,,,,,,22.07009888,16.82121277,3.992720691,101.207228,578.9,3410.714286,1.135662784,20.7,0.369145112,42.46,7.16,30.94,13.84,4.3,0,0,4361.468261,2,,sabre,spiculate
26,Brumptomyia orlandoi,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,armadillo,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sabre,spiculate
27,Brumptomyia ortizi,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,armadillo,,,,,,1,,,,,,,,,,,,,19.90200195,18.11373901,5.870971485,109.9499986,518.5,1335,0.944278518,7,0.66788578,48.1,0,1.9,0,50,0,0,3337.878261,2,,sabre,spiculate
28,Brumptomyia pentacantha,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,1,armadillo,,,,,,0,,,,,,,,,,,,,26.65670166,13.46420288,2.1797533,163.9815718,83,2625,1.910832787,0,0.457289308,80.8,0,11.4,4.8,3,0,0,4032.447826,1,,sabre,spiculate
29,Brumptomyia pintoi,Phlebotomini,Brumptomyiina,Brumptomyia,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,,,1,,,,1,armadillo,,,,,,3,,,,,,,,,,,,,24.6750885,17.92507935,3.102805781,111.7692105,498,,1.039278246,0,0.802862436,0,0,0,0,100,0,0,1443.632609,2,,sabre,spiculate
30,Brumptomyia quimperi,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,armadillo,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sabre,spiculate
