species,hs.canopy,hs.floor,b.tsmbf,b.tsdbf,b.tsgss,b.mangrove,b.fgs,b.dxs,b.tscf,b.tgss,b.tcforest,b.tbmforest,b.montane,mh.flfs,mh.ab,mh.bwa,mh.tttr,mh.th,mh.tt,mh.cr,mh.ca,mh.fwsl,mh.ma,mh.ada,mh.oihd,wild,semi.domestic,domestic,bites.man,bites.mammals,A3_wingl,no.lat.teeth,wing.length,wingl_wingw,temp,temp.range,flii,canopy,ghm,evi,tribe_Phlebotomini,subtribe_Lutzomyiina,subtribe_Psychodopygina,genus_Bichromomyia,genus_Brumptomyia,genus_Dampfomyia,genus_Deanemyia,genus_Evandromyia,genus_Expapillata,genus_Hertigia,genus_Lutzomyia,genus_Martinsmyia,genus_Micropygomyia,genus_Migonemyia,genus_Nyssomyia,genus_Oligodontomyia,genus_Pintomyia,genus_Pressatia,genus_Psathyromyia,genus_Psychodopygus,genus_Sciopemyia,genus_Trichophoromyia,genus_Trichopygomyia,genus_Viannamyia,genus_Warileya,maxshape_spear,hypoteeth_rough,hypoteeth_smooth,hypoteeth_spiculate,log.citations,log.labrum.length,log.no.ven.teeth,log.no.cib.teeth,log.rainfall,log.wind.speed,log.tree.cover,log.crops.cover,log.grass.cover,log.urban.cover,log.water.perm.cover,log.water.seas.cover,log.ecoregion.breadth,leish
Pintomyia (Pintomyia) kuscheli,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,1.93,3.015625,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,,,1.25304864197253,,,,,,,,,,0.0
Pintomyia (Pintomyia) mamedei,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,23.0223938,16.82424927,,0.0,0.87869525,2006.643478,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0009995003330834,,,,4.60314122974776,0.217742089650042,-6.90775527898214,-6.90775527898214,-6.90775527898214,4.60518018593809,-6.90775527898214,-6.90775527898214,0.0009995003330834,0.0
Pintomyia (Pintomyia) pessoai,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.12,7.0,2.31,3.1,20.86166111,20.44814724,5372.5,7.555555556,0.40995532,3503.616908,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2.99578227230403,-0.964955903855436,3.21891582406822,1.3865443298751,4.77453728073365,0.224208122057641,3.60371183081991,2.16726161932251,3.27843949178862,2.40803560450212,0.80890347220196,1.36407715437659,1.3865443298751,0.0
Pintomyia diamantinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,,,,,,,,,,,,,0.0
Pintomyia maracayensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.34381840878234,,,,,,,,,,,,,0.0
Pintomyia naiffi,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,25.16268311,16.62728882,0.0,33.0,0.081956811,5383.391304,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,,,,5.07229224123444,-0.390201113369786,4.34641241031471,-6.90775527898214,2.94449160936039,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.0009995003330834,0.0
Pintomyia nuneztovari,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,20.00723419,14.69889832,7586.0,14.5,0.298855733,4640.156522,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0009995003330834,,,,5.04110223207775,-0.324618524091351,4.19269556856905,-6.90775527898214,3.18017657572892,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.09894556645823,1.0
Pintomyia rangeliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,,,,,,,,,,,,,0.0
Pressatia calcarata,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,25.6318807,15.98353068,0.0,11.0,0.425055804,4508.150725,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0009995003330834,,,1.3865443298751,5.07226988666167,-0.645977257796812,3.44896056374533,0.758154341712379,3.61454196835475,3.02857048246442,-6.90775527898214,-6.90775527898214,0.0009995003330834,0.0
Pressatia camposi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,4.0,1.81,3.2,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,-6.90775527898214,-1.50959257746438,2.94449160936039,1.3865443298751,,,,,,,,,,0.0
